date,sector,avg_p/e_ratio,avg_dividend_yield,market_growth_rate,volatility_index,correlation_to_market
2024-01-01,Technology,25.5,0.8,0.15,0.25,0.85
2024-01-01,Healthcare,22.3,1.2,0.12,0.18,0.72
2024-01-01,Finance,15.8,2.5,0.08,0.22,0.91
2024-01-01,Consumer Discretionary,20.1,1.0,0.10,0.28,0.78
2024-01-01,Industrial,18.7,1.8,0.09,0.20,0.83
2024-02-01,Technology,26.2,0.7,0.16,0.27,0.87
2024-02-01,Healthcare,21.9,1.3,0.11,0.17,0.70
2024-02-01,Finance,16.1,2.4,0.09,0.24,0.93
2024-02-01,Consumer Discretionary,19.8,1.1,0.11,0.26,0.76
2024-02-01,Industrial,19.2,1.7,0.10,0.21,0.85
2024-03-01,Technology,24.8,0.9,0.14,0.23,0.82
2024-03-01,Healthcare,23.1,1.1,0.13,0.19,0.74
2024-03-01,Finance,15.5,2.6,0.07,0.21,0.89
2024-03-01,Consumer Discretionary,20.5,0.9,0.09,0.29,0.80
2024-03-01,Industrial,18.3,1.9,0.08,0.19,0.81
